timestamp,metric,value,unit,segment
2026-08-15 09:00:00,checkout_conversion,8.5,percent,all
2026-08-15 09:15:00,checkout_conversion,8.4,percent,all
2026-08-15 09:30:00,checkout_conversion,8.5,percent,all
2026-08-15 09:45:00,checkout_conversion,8.4,percent,all
2026-08-15 10:00:00,checkout_conversion,8.4,percent,all
2026-08-15 10:15:00,checkout_conversion,8.3,percent,all
2026-08-15 10:30:00,checkout_conversion,8.1,percent,all
2026-08-15 10:45:00,checkout_conversion,8.0,percent,all
2026-08-15 11:00:00,checkout_conversion,7.8,percent,all
2026-08-15 11:15:00,checkout_conversion,7.7,percent,all
2026-08-15 11:30:00,checkout_conversion,7.8,percent,all
2026-08-15 11:45:00,checkout_conversion,7.7,percent,all
2026-08-15 12:00:00,checkout_conversion,7.8,percent,all
2026-08-15 09:00:00,checkout_abandonment,10.8,percent,all
2026-08-15 09:15:00,checkout_abandonment,11.0,percent,all
2026-08-15 09:30:00,checkout_abandonment,10.9,percent,all
2026-08-15 09:45:00,checkout_abandonment,11.0,percent,all
2026-08-15 10:00:00,checkout_abandonment,11.0,percent,all
2026-08-15 10:15:00,checkout_abandonment,11.4,percent,all
2026-08-15 10:30:00,checkout_abandonment,12.0,percent,all
2026-08-15 10:45:00,checkout_abandonment,13.0,percent,all
2026-08-15 11:00:00,checkout_abandonment,14.0,percent,all
2026-08-15 11:15:00,checkout_abandonment,14.2,percent,all
2026-08-15 11:30:00,checkout_abandonment,14.1,percent,all
2026-08-15 11:45:00,checkout_abandonment,14.3,percent,all
2026-08-15 12:00:00,checkout_abandonment,14.0,percent,all
2026-08-16 09:45:00,checkout_abandonment,10.9,percent,all
2026-08-16 09:45:00,checkout_conversion,8.5,percent,all
2026-08-16 10:00:00,checkout_abandonment,11.0,percent,all
2026-08-16 10:00:00,checkout_conversion,8.5,percent,all
2026-08-16 10:15:00,checkout_abandonment,11.8,percent,all
2026-08-16 10:15:00,checkout_conversion,8.2,percent,all
2026-08-16 10:30:00,checkout_abandonment,12.8,percent,all
2026-08-16 10:30:00,checkout_conversion,7.9,percent,all
2026-08-16 10:45:00,checkout_abandonment,14.0,percent,all
2026-08-16 10:45:00,checkout_conversion,7.5,percent,all
2026-08-16 11:00:00,checkout_abandonment,14.5,percent,all
2026-08-16 11:00:00,checkout_conversion,7.2,percent,all
